Timestamp,UnixTime,F,FL,FR,L,R,BL,BR,B,M1_Speed,M1_Dir,M2_Speed,M2_Dir,M3_Speed,M3_Dir,M4_Speed,M4_Dir
2025-05-08 13:15:25,1746702925.5413785,136,1600,1600,1600,454,1600,121,96,0,1,0,1,0,1,0,1
2025-05-08 13:15:25,1746702925.8107796,145,1600,1600,1600,456,1600,117,98,0,1,0,1,0,1,0,1
2025-05-08 13:15:26,1746702926.0810962,142,1600,1600,1600,456,1600,116,96,0,1,0,1,0,1,0,1
2025-05-08 13:15:26,1746702926.3247435,129,1600,1600,1600,454,1600,115,96,0,1,0,1,0,1,0,1
2025-05-08 13:15:26,1746702926.5956056,236,1600,1600,1600,455,1600,113,96,128,1,128,1,30,1,30,1
2025-05-08 13:15:26,1746702926.83454,236,1600,1600,1600,455,1600,102,97,255,1,255,1,30,1,30,1
2025-05-08 13:15:27,1746702927.0952017,1600,1600,1600,1600,467,1600,108,158,255,1,255,1,30,1,30,1
2025-05-08 13:15:27,1746702927.3962605,1600,1600,1600,1600,468,1600,115,126,255,1,255,1,30,1,30,1
2025-05-08 13:15:27,1746702927.6357,1600,1600,1600,74,470,1600,110,125,255,1,255,1,30,1,30,1
2025-05-08 13:15:27,1746702927.8982713,1600,1600,1600,1600,470,1600,106,110,255,1,255,1,30,1,30,1
2025-05-08 13:15:28,1746702928.1665566,1600,1600,1600,1600,471,1600,97,102,255,1,255,1,30,1,30,1
2025-05-08 13:15:28,1746702928.399723,1600,1600,1600,1600,471,1600,95,92,255,1,255,1,30,1,30,1
2025-05-08 13:15:28,1746702928.6778185,1600,1600,1600,1600,468,1600,86,72,255,1,255,1,30,1,30,1
2025-05-08 13:15:28,1746702928.9145262,1600,1600,1600,1600,464,1600,89,76,255,1,255,1,30,1,30,1
2025-05-08 13:15:29,1746702929.1901898,1600,1600,1600,1600,469,1027,105,82,255,1,255,1,30,1,30,1
2025-05-08 13:15:29,1746702929.469582,1600,1600,1600,1600,475,62,105,44,255,1,255,1,30,1,30,1
2025-05-08 13:15:29,1746702929.701835,1600,1600,1600,1600,495,66,108,49,127,1,127,1,158,1,158,1
2025-05-08 13:15:30,1746702930.0056949,1600,1600,1600,69,490,36,114,46,30,1,30,1,30,1,30,1
2025-05-08 13:15:30,1746702930.2976756,1600,1600,1600,1600,484,32,112,46,30,1,30,1,30,1,30,1
2025-05-08 13:15:30,1746702930.4907374,1600,1600,1600,1600,476,34,111,47,30,1,30,1,30,1,30,1
2025-05-08 13:15:30,1746702930.747851,1600,1600,1600,1600,468,28,111,48,30,1,30,1,30,1,30,1
2025-05-08 13:15:31,1746702931.000904,1600,1600,1600,1600,460,24,1600,46,30,1,30,1,158,1,158,1
2025-05-08 13:15:31,1746702931.2711139,1600,1600,245,1600,455,24,1600,45,30,1,30,1,255,1,255,1
2025-05-08 13:15:31,1746702931.5708845,1600,1600,245,1600,455,27,1600,43,30,1,30,1,255,1,255,1
2025-05-08 13:15:31,1746702931.8125513,1600,1600,1600,1600,458,64,1600,48,30,1,30,1,255,1,255,1
2025-05-08 13:15:32,1746702932.0600274,1600,1600,1600,27,461,69,1600,52,30,1,30,1,255,1,255,1
2025-05-08 13:15:32,1746702932.3145745,1600,1600,1600,27,462,69,1600,48,30,1,30,1,255,1,255,1
2025-05-08 13:15:32,1746702932.6158762,1600,1600,1600,1600,467,76,1600,56,30,1,30,1,255,1,255,1
2025-05-08 13:15:32,1746702932.8611157,1600,1600,232,1600,467,93,112,64,30,1,30,1,255,1,255,1
2025-05-08 13:15:33,1746702933.119105,1600,1600,1600,1600,469,93,124,64,30,1,30,1,127,1,127,1
2025-05-08 13:15:33,1746702933.3901823,123,1600,1600,1600,471,1600,124,915,0,1,0,1,0,1,0,1
2025-05-08 13:15:33,1746702933.720969,115,1600,1600,1600,472,1600,1600,867,0,1,0,1,0,1,0,1
2025-05-08 13:15:33,1746702933.9008355,1600,1600,1600,1600,245,1600,1600,922,30,1,30,1,30,1,30,1
2025-05-08 13:15:34,1746702934.1609435,125,1600,1600,1600,70,1600,1600,911,0,1,0,1,0,1,0,1
2025-05-08 13:15:34,1746702934.4128475,88,1600,1600,1600,181,1600,1600,878,0,1,0,1,0,1,0,1
2025-05-08 13:15:34,1746702934.7193806,88,1600,1600,1600,181,1600,148,923,0,1,0,1,0,1,0,1
